epoch,loss,lr,mae,val_loss,val_mae
0,0.002303403103724122,0.001,0.027427492663264275,0.0005237761652097106,0.01311799231916666
1,0.0008749274420551956,0.001,0.014850455336272717,0.0005357872578315437,0.013360525481402874
2,0.0008772218134254217,0.001,0.014896688982844353,0.0005141943111084402,0.012601107358932495
3,0.000878394115716219,0.001,0.01485368236899376,0.0005191020318306983,0.01259419322013855
4,0.0008766987593844533,0.001,0.014890579506754875,0.0005190258380025625,0.01309862732887268
5,0.0008712661219760776,0.001,0.014741701073944569,0.0005545826279558241,0.013971338979899883
6,0.0008734569419175386,0.001,0.014841715805232525,0.0005743260262534022,0.014719807542860508
7,0.0008783754892647266,0.001,0.01491482462733984,0.0005237243021838367,0.012313373386859894
8,0.0008763872319832444,0.001,0.014957813546061516,0.000557812163606286,0.014270455576479435
9,0.0008736456511542201,0.001,0.014760701917111874,0.000550283002667129,0.013726112432777882
